Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
M. Veljković,Serbia,24,73,77,"



SV Werder Bremen","CB, CDM",CB,€3.9M,17000,€8.8M,1638,0.004294117647058823
C. Akpom,England,24,73,78,"



Middlesbrough",ST,ST,€4.7M,15000,€10.9M,1736,0.004866666666666667
T. Dingomé,France,29,73,73,"



ESTAC Troyes",CAM,CM,€3M,8000,€7M,1985,0.009125
H. Dalsgaard,Denmark,30,73,73,"



Brentford","RB, RWB, CB",RB,€2.6M,31000,€6.1M,1840,0.0023548387096774194
S. Missiroli,Italy,34,73,73,"



SPAL","CM, CDM",CM,€1.4M,27000,€3.4M,1889,0.002703703703703704
M. Schäffler,Germany,31,73,73,"



1. FC Nürnberg",ST,ST,€2.6M,12000,€5.8M,1704,0.006083333333333333
Fede,Spain,23,73,79,"



Real Valladolid CF","CDM, CM",CDM,€4.4M,13000,€11.5M,1869,0.005615384615384615
V. Laurini,France,31,73,73,"



Parma",RB,RB,€2.2M,23000,€5.2M,1756,0.003173913043478261
W. Troost-Ekong,Nigeria,26,73,76,"



Watford",CB,CB,€3.5M,14000,€8.3M,1528,0.005214285714285715
H. Reed,England,25,73,79,"



Fulham",CDM,CDM,€4.3M,57000,€10.3M,1907,0.001280701754385965
M. Krmenčík,Czech Republic,27,73,74,"



Club Brugge KV",ST,ST,€3.6M,22000,€6.9M,1723,0.003318181818181818
S. Plavšić,Serbia,24,73,76,"



Sparta Praha","LM, RM",LM,€4.2M,750,€11.4M,1835,0.09733333333333333
P. Gallese,Peru,30,73,73,"



Orlando City SC",GK,GK,€2M,6000,€4.1M,1227,0.012166666666666666
A. Bouchalakis,Greece,27,73,74,"



Olympiacos CFP","CM, CDM, CAM",CM,€3.5M,1000,€9.8M,1965,0.073
G. Shoji,Japan,27,73,75,"



Gamba Osaka",CB,CB,€3.2M,10000,€5.6M,1691,0.0073
W. Morgan,Jamaica,36,73,73,"



Leicester City",CB,CB,€550K,35000,€1.5M,1396,0.002085714285714286
O. Kragl,Germany,30,73,73,"



Benevento","LM, CF, RM",LM,€2.9M,15000,€6.8M,1919,0.004866666666666667
A. Poko,Gabon,27,73,74,"



Göztepe SK","CDM, CM, CAM",CDM,€3.1M,19000,€8.5M,1934,0.0038421052631578945
E. Mas,Argentina,31,73,73,"



Boca Juniors",LB,LB,€2.2M,13000,€4.1M,1972,0.005615384615384615
C. Romero,Argentina,22,73,80,"



Atalanta",CB,CB,€5.5M,29000,€9.5M,1593,0.0025172413793103448
A. Lennon,England,33,73,73,"



Kayserispor","RM, LM",RM,€1.9M,13000,€4.8M,1843,0.005615384615384615
J. Carrascal,Colombia,22,73,84,"



River Plate",CAM,CAM,€7M,12000,€11.2M,1863,0.006083333333333333
F. Haroun,Belgium,34,73,73,"



Royal Antwerp FC","CDM, CM",CDM,€1M,16000,€2.3M,1850,0.0045625
A. Mozo,Mexico,23,73,80,"



U.N.A.M.",RB,RB,€6M,9000,€9.5M,1784,0.00811111111111111
D. Gosling,England,30,73,73,"



Bournemouth",CM,CM,€2.9M,12000,€7M,1939,0.006083333333333333
M. Gaćinović,Serbia,25,73,78,"



TSG 1899 Hoffenheim","CAM, CM",RM,€4.5M,25000,€9.8M,1963,0.00292
M. Stevanović,Bosnia Herzegovina,29,73,73,"



Servette FC","RM, CM",RM,€3M,16000,€5.7M,1846,0.0045625
C. Acevedo,Mexico,24,73,81,"



Santos Laguna",GK,GK,€6M,13000,€8.6M,1028,0.005615384615384615
M. Colin,France,28,73,73,"



Birmingham City",RB,RB,€2.8M,15000,€6.5M,1827,0.004866666666666667
Marc Navarro,Spain,24,73,78,"



Watford","RB, RWB",RB,€4.3M,12000,€8.8M,1782,0.006083333333333333
K. Kamara,Sierra Leone,35,73,73,"



Minnesota United FC",ST,ST,€1.3M,6000,€2.7M,1835,0.012166666666666666
J. Augustin,France,23,73,79,"



FC Nantes",ST,ST,€4.9M,20000,€12.1M,1743,0.00365
Y. Kobayashi,Japan,32,73,73,"



Kawasaki Frontale",ST,ST,€2.5M,12000,€4.2M,1823,0.006083333333333333
A. Bamba,Ivory Coast,30,73,73,"



Angers SCO","RB, LB, RWB",RB,€2.6M,17000,€6.4M,1822,0.004294117647058823
D. Pelkas,Greece,26,73,75,"



Fenerbahçe SK","CAM, LM, RM",CAM,€3.8M,45000,€9.5M,1840,0.0016222222222222222
M. Al Buraik,Saudi Arabia,27,73,73,"



Al Hilal",RB,RB,€2.9M,27000,€6.1M,1941,0.002703703703703704
M. Abeid,Algeria,27,73,74,"



FC Nantes","CDM, CM",CM,€3.1M,19000,€8.5M,1953,0.0038421052631578945
N. Skubic,Slovenia,31,73,73,"



Atiker Konyaspor",RB,RB,€2.2M,14000,€5.8M,1908,0.005214285714285715
M. Tisserand,DR Congo,27,73,75,"



Fenerbahçe SK","CB, LB",CB,€3.2M,41000,€8.3M,1942,0.0017804878048780488
A. Brignoli,Italy,28,73,75,"



Empoli",GK,GK,€2.6M,3000,€5.7M,1140,0.024333333333333332
E. Alioski,North Macedonia,28,73,73,"



Leeds United","LB, LM",LB,€2.8M,63000,€6.8M,2025,0.0011587301587301588
J. Martin,France,30,73,73,"



Stade Rennais FC",CM,CM,€2.9M,33000,€7M,1963,0.002212121212121212
B. Kamara,France,23,73,82,"



RC Strasbourg Alsace",GK,GK,€6M,14000,€10.6M,1123,0.005214285714285715
Borja Bastón,Spain,27,73,73,"



CD Leganés",ST,ST,€3.3M,12000,€6.9M,1735,0.006083333333333333
F. Ballo-Touré,France,23,73,79,"



AS Monaco","LB, LM",LWB,€4.5M,28000,€10.3M,1882,0.0026071428571428574
P. Díaz,Chile,25,73,78,"



River Plate",CB,CB,€4M,12000,€7.1M,1906,0.006083333333333333
J. Pérez,Colombia,29,73,73,"



América de Cali","LM, ST",LM,€3M,3000,€5.5M,1885,0.024333333333333332
N. Etheridge,Philippines,30,73,74,"



Birmingham City",GK,GK,€2.3M,12000,€6.1M,1230,0.006083333333333333
J. Schouten,Netherlands,23,73,80,"



Bologna","CDM, CM",CDM,€5.5M,20000,€10M,1843,0.00365
A. Hunt,Germany,33,73,73,"



Hamburger SV","CAM, CM",CAM,€1.9M,13000,€3.8M,1907,0.005615384615384615
M. Vydra,Czech Republic,28,73,73,"



Burnley","CF, CAM",CF,€3.1M,44000,€7.8M,1869,0.001659090909090909
A. Voglsammer,Germany,28,73,73,"



DSC Arminia Bielefeld","LW, ST",ST,€3.1M,22000,€7.2M,1894,0.003318181818181818
Jonas Damasto,Brazil,24,73,73,"



Fortaleza",LB,LB,€3.2M,9000,€7.2M,1749,0.00811111111111111
M. Hanousek,Czech Republic,27,73,74,"



Sparta Praha","LB, LM",LB,€3.2M,800,€9.1M,1813,0.09125
Mikel Rico,Spain,35,73,73,"



SD Huesca","CM, CDM",CDM,€1.2M,14000,€3.7M,1938,0.005214285714285715
W. Morelo,Colombia,33,73,73,"



Club Atlético Colón",ST,ST,€1.9M,13000,€3.8M,1901,0.005615384615384615
I. Arboleda,Colombia,24,73,80,"



Club Atlético Banfield",GK,GK,€5M,8000,€7.3M,1252,0.009125
I. Brizuela,Mexico,29,73,73,"



Guadalajara","RM, LW",RM,€3M,37000,€6.6M,1893,0.001972972972972973
O. Dorley,Liberia,21,73,83,"



SK Slavia Praha","CDM, CM, RM",LM,€6.5M,550,€14.4M,2058,0.13272727272727272
P. Bardsley,Scotland,35,73,73,"



Burnley",RB,CB,€925K,26000,€2.1M,1853,0.0028076923076923075
K. Mitroglou,Greece,32,73,73,"



Olympique de Marseille",ST,ST,€2.5M,31000,€6.1M,1699,0.0023548387096774194
L. Benito,Switzerland,28,73,73,"



FC Girondins de Bordeaux",LB,LB,€2.8M,24000,€6.8M,1901,0.0030416666666666665
M. Aarons,England,20,73,83,"



Norwich City",RB,RWB,€6.5M,7000,€12.6M,1765,0.01042857142857143
R. Del Castillo,France,24,73,77,"



Stade Rennais FC","ST, LM, RM",CAM,€4.4M,32000,€10.9M,1940,0.00228125
H. Belkebla,Algeria,26,73,76,"



Stade Brestois 29","CDM, CM",CDM,€3.6M,15000,€9.3M,1858,0.004866666666666667
S. Denswil,Netherlands,27,73,76,"



Bologna","CB, LB",CB,€3.5M,23000,€8.1M,1818,0.003173913043478261
Henrique,Brazil,33,73,73,"



Os Belenenses",CB,CB,€1.5M,6000,€3.9M,1808,0.012166666666666666
H. Soudani,Algeria,32,73,73,"



Olympiacos CFP","CAM, LM, ST",ST,€2.4M,1000,€6.5M,1917,0.073
Aday Benítez,Spain,32,73,73,"



Girona FC","RM, LB, RB",RM,€2.4M,9000,€5M,1865,0.00811111111111111
R. Henry,England,22,73,80,"



Brentford","LB, LWB",LWB,€6M,27000,€10.5M,1830,0.002703703703703704
J. Bennett,England,30,73,73,"



Cardiff City",LB,LB,€2.6M,21000,€6.1M,1840,0.003476190476190476
S. Clark,United States,34,73,73,"



Portland Timbers",GK,GK,€525K,6000,€2.7M,1225,0.012166666666666666
J. Ferri,France,28,73,73,"



Montpellier HSC",CM,CM,€3M,26000,€8M,1976,0.0028076923076923075
S. Dann,England,33,73,73,"



Crystal Palace",CB,CB,€1.5M,36000,€3.6M,1476,0.0020277777777777777
J. Broun,Argentina,34,73,73,"



Gimnasia y Esgrima La Plata",GK,GK,€525K,11000,€2.6M,1183,0.006636363636363636
H. Lindner,Austria,29,73,73,"



FC Basel 1893",GK,GK,€2.1M,11000,€4.2M,1130,0.006636363636363636
S. Gürler,Turkey,28,73,73,"



Antalyaspor","LM, RM, LW",LM,€3.1M,16000,€8M,1812,0.0045625
F. Zampedri,Argentina,32,73,73,"



Universidad Católica",ST,ST,€2.5M,12000,€4.5M,1694,0.006083333333333333
J. Kovařík,Czech Republic,32,73,73,"



Viktoria Plzeň","LW, LM, LB",LW,€2.4M,1000,€6.8M,1995,0.073
Silvosinho,Brazil,24,73,73,"



Santos","RB, RM, RWB",RB,€3.2M,17000,€7.2M,1848,0.004294117647058823
Léo Matos,Brazil,34,73,73,"



PAOK",RB,RB,€1.1M,1000,€3.1M,2005,0.073
Borja Sánchez,Spain,24,73,80,"



Real Oviedo","CAM, LM, ST",CAM,€6M,9000,€9.6M,1837,0.00811111111111111
L. Phiri,South Africa,25,73,78,"



En Avant de Guingamp","CDM, CM",CDM,€4.1M,7000,€9M,1964,0.01042857142857143
T. Delaine,France,28,73,73,"



FC Metz",LB,LB,€2.8M,15000,€6.8M,1892,0.004866666666666667
Aihen Muñoz,Spain,22,73,82,"



Real Sociedad",LB,LB,€6.5M,17000,€12.7M,1863,0.004294117647058823
E. Brítez,Argentina,28,73,73,"



Rosario Central","LB, RB, CB",LB,€2.8M,14000,€5.1M,1792,0.005214285714285715
A. Tinnerholm,Sweden,29,73,73,"



New York City FC","RB, RWB",RB,€2.7M,7000,€5M,1843,0.01042857142857143
R. López,Mexico,27,73,74,"



Deportivo Toluca","RB, RWB",RB,€3.2M,14000,€0,1970,0.005214285714285715
C. Guanca,Argentina,27,73,74,"



Al Shabab","CAM, ST",CAM,€3.5M,27000,€8.2M,1835,0.002703703703703704
C. Musonda,Belgium,23,73,79,"



Chelsea","RM, LM",CAM,€4.8M,50000,€11.6M,1639,0.00146
Jeff Meirson,Brazil,28,73,73,"



Coritiba",LB,LB,€2.8M,18000,€6.5M,1885,0.004055555555555555
J. Léa Siliki,France,24,73,78,"



Stade Rennais FC","CM, LM",CM,€4.6M,29000,€10.9M,2020,0.0025172413793103448
C. Bravo,Argentina,23,73,82,"



Club Atlético Banfield",LB,LWB,€6.5M,10000,€9.4M,1842,0.0073
R. Santa Cruz,Paraguay,38,73,73,"



Olimpia Asunción",ST,ST,€1M,950,€3.1M,1595,0.07684210526315789
A. Bedoya,United States,33,73,73,"



Philadelphia Union","CM, CDM",CM,€1.9M,8000,€3.5M,1972,0.009125
L. Abram,Peru,24,73,78,"



Vélez Sarsfield",CB,CB,€4.2M,11000,€7.6M,1682,0.006636363636363636
R. Bengtsson,Sweden,34,73,73,"



Malmö FF",CB,CB,€1M,7000,€2M,1571,0.01042857142857143
A. Urzi,Argentina,20,73,88,"



Club Atlético Banfield","LM, CM, RM",LM,€7.5M,10000,€19.1M,1737,0.0073
S. Hefti,Switzerland,22,73,84,"



BSC Young Boys","RB, CB",RB,€6.5M,15000,€10.2M,1836,0.004866666666666667
R. Ghezzal,Algeria,28,73,73,"



Beşiktaş JK","RW, RM",RW,€3.1M,61000,€0,1793,0.00119672131147541
K. Wilczek,Poland,32,73,73,"



FC København",ST,ST,€2.5M,19000,€4.2M,1871,0.0038421052631578945
M. Fabián,Mexico,30,73,73,"



FC Juárez","CAM, LM, CF",CAM,€2.9M,12000,€6.5M,1914,0.006083333333333333
Lee Chung Yong,Korea Republic,31,73,73,"



Ulsan Hyundai FC","CAM, RM, CM",CAM,€2.5M,8000,€4.6M,1884,0.009125
D. Terans,Uruguay,25,73,74,"



Peñarol","CF, ST, CAM",CAM,€3.7M,1000,€10.9M,1811,0.073
N. Penneteau,France,39,73,73,"



Sporting de Charleroi",GK,GK,€350K,6000,€600K,1110,0.012166666666666666
I. Šunjić,Croatia,23,73,80,"



Birmingham City","CDM, CM",CDM,€5.5M,12000,€10.5M,1826,0.006083333333333333
M. Chouiar,France,21,73,80,"



Dijon FCO","LM, CAM, RM",CAM,€6M,9000,€12.1M,1819,0.00811111111111111
Enzo Merques,Brazil,24,73,73,"



Internacional",LB,LB,€3.2M,17000,€7.2M,2004,0.004294117647058823
Marlion Simões,Brazil,28,73,73,"



Ceará Sporting Club","LB, CM",LB,€2.8M,11000,€6.5M,1900,0.006636363636363636
Rodolfo Pittaça,Brazil,20,73,73,"



Vasco da Gama","ST, LM",ST,€3.5M,11000,€8.6M,1858,0.006636363636363636
Hélder Costa,Portugal,26,73,74,"



Leeds United","RM, RW, LM",RM,€3.6M,66000,€9.8M,1766,0.001106060606060606
Dagoberto Esteiro,Brazil,24,73,73,"



São Paulo",ST,ST,€3.6M,27000,€8.6M,1609,0.002703703703703704
A. Hodžić,Bosnia Herzegovina,25,73,77,"



Kasimpaşa SK",ST,ST,€4.3M,13000,€10.4M,1607,0.005615384615384615
E. Durm,Germany,28,73,73,"



Eintracht Frankfurt","LB, RB, RM",LB,€2.8M,21000,€5.8M,1851,0.003476190476190476
C. Fuchs,Austria,34,73,73,"



Leicester City",LB,CDM,€1.1M,49000,€2.7M,2024,0.001489795918367347
K. Lawrence,Jamaica,27,73,73,"



RSC Anderlecht","LB, LWB",LB,€2.9M,17000,€5.4M,1885,0.004294117647058823
S. Ingason,Iceland,26,73,75,"



PAOK",CB,CB,€3.3M,1000,€9.8M,1741,0.073
Rafael,Brazil,38,73,73,"



Spezia",GK,GK,€350K,8000,€880K,1096,0.009125
S. Dallas,Northern Ireland,29,73,73,"



Leeds United","LB, CM, RB",LB,€2.7M,63000,€6.6M,1937,0.0011587301587301588
B. Fornaroli,Uruguay,32,73,73,"



Perth Glory",ST,ST,€2.5M,8000,€4M,1914,0.009125
Gerso,Guinea Bissau,29,73,73,"



Sporting Kansas City","LW, RW",LW,€3M,9000,€5.9M,1814,0.00811111111111111
C. Quintana,Argentina,32,73,73,"



Argentinos Juniors",CB,CB,€2M,11000,€3.9M,1517,0.006636363636363636
Tramontinaldo,Brazil,24,73,73,"



Club Athletico Paranaense","RB, RM",RB,€3.2M,10000,€7.2M,1846,0.0073
S. Falette,Guinea,28,73,75,"



Hannover 96",CB,CB,€3.1M,20000,€6.7M,1617,0.00365
D. Drexler,Germany,30,73,73,"



1. FC Köln","CAM, CM, LM",CAM,€2.9M,22000,€6.8M,1776,0.003318181818181818
S. Bahoken,Cameroon,28,73,73,"



Angers SCO",ST,ST,€3.1M,21000,€8.2M,1702,0.003476190476190476
Paulo Vinícius,Brazil,35,73,73,"



CFR Cluj",CB,CB,€800K,9000,€1.7M,1760,0.00811111111111111
D. Lamkel Zé,Cameroon,23,73,78,"



Royal Antwerp FC","LM, RM, LW",RM,€4.6M,15000,€8.7M,1911,0.004866666666666667
Raúl Navas,Spain,32,73,73,"



CA Osasuna",CB,CB,€2M,22000,€5.5M,1614,0.003318181818181818
Marcos Paneira,Brazil,20,73,73,"



Bahia","CDM, CM, RM",CDM,€3M,8000,€7.6M,1814,0.009125
M. Fernández,Chile,34,73,73,"



Colo-Colo","CAM, CM",CAM,€1.4M,8000,€2.8M,1946,0.009125
S. Özbayraklı,Turkey,30,73,73,"



Galatasaray SK",RB,RB,€2.6M,41000,€6.1M,1958,0.0017804878048780488
L. Gil,Argentina,29,73,73,"



Al Ittihad","CM, CDM",CM,€3M,31000,€6.5M,2021,0.0023548387096774194
Romário Baró,Portugal,20,73,85,"



FC Porto","RM, CAM",CAM,€7.5M,8000,€15.4M,1839,0.009125
Muriqui,Brazil,34,73,73,"



Shijiazhuang Ever Bright F.C.","ST, LM, LW",RM,€1.5M,9000,€3.3M,1908,0.00811111111111111
J. Larsson,Sweden,23,73,80,"



Spartak Moscow",ST,ST,€6M,38000,€9.9M,1852,0.0019210526315789473
Nuno da Costa,Cape Verde,29,73,73,"



Royal Excel Mouscron","ST, LM, RM",CF,€3M,43000,€0,1779,0.001697674418604651
O. Ejaria,England,22,73,82,"



Reading","CAM, LM, CM",CAM,€7M,11000,€12.6M,1928,0.006636363636363636
B. Lednev,Ukraine,22,73,82,"



Dynamo Kyiv","CAM, RM, LM",CAM,€7M,750,€14.4M,1938,0.09733333333333333
V. Manceau,France,30,73,73,"



Angers SCO",RB,RB,€2.6M,17000,€6.4M,1853,0.004294117647058823
J. Duque,Colombia,28,73,74,"



Millonarios FC",CDM,CDM,€2.9M,4000,€5.7M,1765,0.01825
L. Singh,South Africa,22,73,80,"



FC Paços de Ferreira","RW, LW",RW,€6M,12000,€0,1736,0.006083333333333333
L. Ceppitelli,Italy,30,73,73,"



Cagliari",CB,CB,€2.5M,23000,€5.4M,1441,0.003173913043478261
C. Mepham,Wales,22,73,81,"



Bournemouth",CB,CB,€6.5M,10000,€11.6M,1677,0.0073
J. Maidana,Argentina,34,73,73,"



Deportivo Toluca",CB,CB,€1M,16000,€2.6M,1633,0.0045625
P. Lasne,France,31,73,73,"



Stade Brestois 29","CM, LWB",CDM,€2.5M,16000,€6.8M,1977,0.0045625
R. Lenis,Colombia,27,73,73,"



Club Atlético Banfield","RM, LM",RM,€3.2M,13000,€6.3M,1753,0.005615384615384615
S. Sinclair,England,31,73,73,"



Preston North End",LM,LM,€2.5M,23000,€6.7M,1871,0.003173913043478261
Vágner Corraldo,Brazil,20,73,73,"



Club Athletico Paranaense",LB,LB,€3.1M,9000,€7.2M,1921,0.00811111111111111
L. Cacace,New Zealand,19,73,84,"



Sint-Truidense VV","LB, LWB",LM,€6.5M,6000,€9.9M,2008,0.012166666666666666
Enaldo Toxeto,Brazil,36,73,73,"



Grêmio",CB,CB,€550K,15000,€1.5M,1823,0.004866666666666667
V. García,Venezuela,26,73,76,"



AD Alcorcón",RB,RB,€3.7M,9000,€7M,1799,0.00811111111111111
M. Silva,Uruguay,37,73,73,"



Club Libertad",GK,GK,€350K,500,€880K,1102,0.146
C. Zambrano,Peru,30,73,73,"



Boca Juniors",CB,CB,€2.5M,13000,€4.5M,1748,0.005615384615384615
A. Umar,Nigeria,25,73,75,"



Çaykur Rizespor","LM, RM",CAM,€3.8M,12000,€10.2M,1866,0.006083333333333333
A. Robinson,United States,22,73,82,"



Fulham","LB, LWB",LB,€6.5M,52000,€11.6M,1727,0.0014038461538461537
D. Toköz,Turkey,24,73,78,"



Beşiktaş JK","CDM, CM",CDM,€4.2M,36000,€9.7M,1926,0.0020277777777777777
J. Figal,Argentina,26,73,77,"



Inter Miami","CB, RB",CB,€3.7M,7000,€7.2M,1780,0.01042857142857143
Hervías,Spain,27,73,73,"



Real Valladolid CF","RM, LM",RM,€3.2M,16000,€8.8M,1788,0.0045625
T. Holeš,Czech Republic,27,73,74,"



SK Slavia Praha","CDM, RB, RM",RWB,€3.1M,800,€9.3M,1984,0.09125
Kiko Casilla,Spain,33,73,73,"



Leeds United",GK,GK,€1M,49000,€4.4M,1317,0.001489795918367347
V. Salazar,Argentina,27,73,74,"



San Lorenzo de Almagro","RB, RWB",RB,€3.2M,16000,€6.3M,1811,0.0045625
Y. Namli,Denmark,26,73,76,"



Colorado Rapids","CAM, RM",CAM,€4M,8000,€7.6M,1834,0.009125
I. Köybaşı,Turkey,30,73,73,"



Çaykur Rizespor","LB, LM",LB,€2.6M,12000,€6.4M,1978,0.006083333333333333
B. Sharp,England,34,73,73,"



Sheffield United",ST,ST,€1.5M,30000,€4M,1792,0.0024333333333333334
S. Kittel,Germany,27,73,73,"



Hamburger SV","LW, CAM",LW,€3.2M,14000,€6.7M,1827,0.005214285714285715
E. Paredes,Chile,39,73,73,"



Colo-Colo",ST,ST,€1M,6000,€1.7M,1832,0.012166666666666666
V. Birsa,Slovenia,33,73,73,"



Cagliari","CAM, RW",CAM,€1.9M,25000,€4.1M,1916,0.00292
P. Aquino,Peru,25,73,77,"



Club León","CDM, CM",CDM,€3.8M,17000,€8.3M,1874,0.004294117647058823
L. Bénes,Slovakia,22,73,79,"



Borussia Mönchengladbach","CM, CAM",CAM,€4.9M,24000,€10.5M,1889,0.0030416666666666665
F. Bachirou,Comoros,30,73,73,"



Nottingham Forest","CDM, CM",CDM,€2.5M,35000,€6.3M,1885,0.002085714285714286
T. Leistner,Germany,29,73,73,"



Hamburger SV",CB,CB,€2.5M,12000,€5.4M,1654,0.006083333333333333
S. Byram,England,26,73,74,"



Norwich City","LB, RB",LB,€3.3M,10000,€8.1M,1907,0.0073
B. Bianchi,Argentina,31,73,73,"



Club Atlético Colón",CB,CB,€2.1M,11000,€4.5M,1627,0.006636363636363636
J. Hogg,England,31,73,73,"



Huddersfield Town","CDM, CM",CDM,€2.1M,21000,€5.7M,1843,0.003476190476190476
P. Mouche,Argentina,32,73,73,"



Colo-Colo","LM, LW, ST",LM,€2.4M,8000,€4.3M,1813,0.009125
Aleix García,Spain,23,73,80,"



Dinamo Bucureşti","CAM, CM, RM",CAM,€6M,6000,€8.5M,1895,0.012166666666666666
W. Montoya,Argentina,26,73,73,"



Racing Club","RM, CM, RB",RM,€3.3M,44000,€0,1859,0.001659090909090909
G. González,Uruguay,25,73,76,"



Peñarol","RB, RM, LB",RWB,€3.7M,950,€10M,1793,0.07684210526315789
P. Burner,France,24,73,77,"



Nîmes Olympique",RB,RWB,€4.1M,15000,€9.5M,1908,0.004866666666666667
B. Stancu,Romania,33,73,73,"



Gençlerbirliği SK","ST, LM",ST,€1.9M,17000,€5M,1857,0.004294117647058823
Z. Vanheusden,Belgium,20,73,84,"



Standard de Liège",CB,CB,€6M,9000,€11.1M,1758,0.00811111111111111
S. Bell,Germany,28,73,73,"



1. FSV Mainz 05",CB,CB,€2.6M,21000,€6.3M,1582,0.003476190476190476
Kim Jin Hyeon,Korea Republic,32,73,73,"



Cerezo Osaka",GK,GK,€1.5M,6000,€3.1M,1175,0.012166666666666666
Douglas,Brazil,32,73,73,"



Vissel Kobe",ST,ST,€2.5M,10000,€4.2M,1660,0.0073
A. Limbombe,Belgium,25,73,74,"



FC Nantes","LM, LW, RM",LM,€3.6M,20000,€10M,1930,0.00365
C. Bassogog,Cameroon,24,73,76,"



Henan Jianye FC","ST, RM, RW",ST,€4.2M,12000,€8.1M,1897,0.006083333333333333
B. Dia,France,23,73,80,"



Stade de Reims",ST,ST,€6M,20000,€12.1M,1694,0.00365
S. Peña,Peru,24,73,77,"



FC Emmen","CAM, CM",CAM,€4.4M,6000,€7.6M,1894,0.012166666666666666
A. Ienaga,Japan,34,73,73,"



Kawasaki Frontale","RM, CAM",RM,€1.4M,11000,€2.6M,1867,0.006636363636363636
P. Bauer,Germany,27,73,75,"



Preston North End",CB,CB,€3.2M,21000,€8.3M,1573,0.003476190476190476
L. Gamba,Argentina,33,73,73,"



Rosario Central","ST, LM",CAM,€1.9M,16000,€3.8M,1850,0.0045625
Y. Candelo,Colombia,28,73,73,"



Atlético Nacional",RM,RM,€3.1M,6000,€5.6M,2003,0.012166666666666666
D. Padelli,Italy,34,73,73,"



Inter",GK,GK,€525K,44000,€3.1M,1043,0.001659090909090909
E. Löwen,Germany,23,73,79,"



Hertha BSC","CM, CDM",CDM,€4.8M,28000,€10.5M,1930,0.0026071428571428574
F. Pisacane,Italy,34,73,73,"



Cagliari","CB, RB",CB,€1M,23000,€2.6M,1612,0.003173913043478261
P. Michorl,Austria,25,73,77,"



LASK Linz",CM,CM,€4.2M,21000,€7.9M,1988,0.003476190476190476
S. Di Carmine,Italy,31,73,73,"



Hellas Verona",ST,ST,€2.6M,23000,€6.5M,1800,0.003173913043478261
G. Castrovilli,Italy,23,73,81,"



Fiorentina","CM, CAM",CAM,€6.5M,32000,€11.4M,1849,0.00228125
A. Tameze,France,26,73,76,"



Hellas Verona","CM, CDM",CDM,€4M,21000,€9.2M,1949,0.003476190476190476
K. Sema,Sweden,26,73,73,"



Watford","LM, RM, LWB",LM,€3.3M,15000,€7.7M,1907,0.004866666666666667
F. Higuaín,Argentina,35,73,73,"



DC United",CAM,CAM,€1.2M,6000,€2.7M,1906,0.012166666666666666
C. Awaziem,Nigeria,23,73,80,"



Boavista FC",CB,CB,€5.5M,9000,€0,1607,0.00811111111111111
F. Ricca,Uruguay,25,73,76,"



Club Brugge KV",LB,CB,€3.7M,17000,€6.5M,1797,0.004294117647058823
L. González Pirez,Argentina,28,73,74,"



Inter Miami",CB,CDM,€2.9M,7000,€6.1M,1841,0.01042857142857143
B. Bannan,Scotland,30,73,73,"



Sheffield Wednesday","CM, CDM",CM,€2.9M,17000,€7M,1921,0.004294117647058823
J. Pohjanpalo,Finland,25,72,74,"



1. FC Union Berlin",ST,ST,€3M,38000,€0,1690,0.001894736842105263
P. Berg,Norway,22,72,80,"



FK Bodø/Glimt","CM, CDM",CM,€5M,4000,€6.5M,1919,0.018
Guerrero,Spain,29,72,72,"



Nottingham Forest",ST,ST,€2.3M,38000,€5.9M,1851,0.001894736842105263
F. Boulaya,Algeria,27,72,72,"



FC Metz",RW,RW,€2.5M,15000,€6.6M,1725,0.0048
D. Geiger,Germany,22,72,81,"



TSG 1899 Hoffenheim",CM,CM,€5M,20000,€8.9M,1741,0.0036
